bil,peringkatSekolah,ppd,kodSekolah,namaSekolah,alamatSurat,poskodSurat,bandarSurat,negeri,noTelefon,noFax,formattedAddress,latitude,longitude,neighborhood,establishment,administrativeLevels,administrativeLevelsShort,streetName,city,country,countryCode,zipcode,provider,streetNumber
1114,Rendah,PPD KLANG,BBA0016,SK KG RAJA UDA,"JALAN KENANGA, KG RAJA UDA",42000,PELABUHAN KLANG,SELANGOR,331685810,331650458,"Jalan Kenanga, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor, Malaysia",3.0162684,101.4094448,Kampung Raja Uda,,Selangor,Selangor,Jalan Kenanga,Pelabuhan Klang,Malaysia,MY,42000,google,
1123,Rendah,PPD KLANG,BBA0026,SK SUNGAI UDANG,JALAN YADI,41250,KLANG,SELANGOR,333715071,333715071,"Jalan Yadi, 41250 Klang, Selangor, Malaysia",3.0385748,101.4188357,,,Selangor,Selangor,Jalan Yadi,Klang,Malaysia,MY,41250,google,
1116,Rendah,PPD KLANG,BBA0018,SK KG JOHAN SETIA,JALAN JOHAN SETIA OFF JALAN LANGAT,41200,KLANG,SELANGOR,351613893,351610625,"5 & Jln Johan Setia 1, 41200 Klang, Selangor, Malaysia",2.9818522,101.4544641,,,Selangor,Selangor,5,Klang,Malaysia,MY,41200,google,
1117,Rendah,PPD KLANG,BBA0019,SK SUNGAI SERDANG,"BT 13 1/2, JALAN KAPAR",42200,KAPAR,SELANGOR,332500545,332500545,"13, Jalan Kapar, Taman Sentosa, 42200 Kapar, Selangor, Malaysia",3.1329575,101.3760096,Taman Sentosa,,Selangor,Selangor,Jalan Kapar,Kapar,Malaysia,MY,42200,google,13
1118,Rendah,PPD KLANG,BBA0021,SK KG PENDAMAR,KAMPUNG PENDAMAR,41200,KLANG,SELANGOR,331688517,331688517,"Kampung Pendamar, 42000 Klang, Selangor, Malaysia",2.979235,101.4298988,Kampung Pendamar,,Selangor,Selangor,,Klang,Malaysia,MY,42000,google,
1120,Rendah,PPD KLANG,BBA0023,SK TAMAN KLANG JAYA,"JALAN SERULING 56, OFF JALAN LANGAT",41200,KLANG,SELANGOR,333237837,333230741,"Jalan Seruling 57 & Jalan Selampit 56, Taman Klang Jaya, 41200 Klang, Selangor, Malaysia",3.0052035,101.4512297,Taman Klang Jaya,,Selangor,Selangor,Jalan Seruling 57,Klang,Malaysia,MY,41200,google,
1112,Rendah,PPD KLANG,BBA0014,SK TOK MUDA,JLN KG TOK MUDA,42200,KAPAR,SELANGOR,332500395,332500395,"Lot 2419, Jalan Masjid, Kampung Tok Muda Batu 12 1/2, Kapar, 42200, Klang, Selangor, 42200, Malaysia",3.099568,101.366788,,,,,,,Malaysia,MY,42200,google,
1121,Rendah,PPD PETALING PERDANA,BBA0024,SK TAMAN SRI MUDA,"25/20 JALAN NYAMAN, TAMAN SRI MUDA",40400,SHAH ALAM,SELANGOR,351212944,351217694,"Jalan Nyaman 25/20, Taman Sri Muda, 40400 Shah Alam, Selangor, Malaysia",3.0329847,101.5278627,Taman Sri Muda,,Selangor,Selangor,Jalan Nyaman 25/20,Shah Alam,Malaysia,MY,40400,google,
1119,Rendah,PPD KLANG,BBA0022,SK TELOK GONG,"KG NELAYAN, TELOK GONG",42000,PELABUHAN KLANG,SELANGOR,331341231,331341231,"Lebuh Kampung Nelayan, Kampung Telok Gong, 42000 Pelabuhan Klang, Selangor, Malaysia",2.9622372,101.3892929,Kampung Telok Gong,,Selangor,Selangor,Lebuh Kampung Nelayan,Pelabuhan Klang,Malaysia,MY,42000,google,
1122,Rendah,PPD KLANG,BBA0025,SK TELOK PULAI,TAMAN BERTEK,41100,KLANG,SELANGOR,333720516,333743043,"TBG211, Jalan Sungai Bertek, Taman Bertek, 41100, Klang, Selangor, 41100, Malaysia",3.038099,101.425404,,,,,,,Malaysia,MY,41100,google,
1124,Rendah,PPD KLANG,BBA0028,SK PELABUHAN  UTARA,BANDAR SULTAN SULEIMAN,42000,PELABUHAN KLANG,SELANGOR,331765366,331766197,"Bandar Sultan Suleiman, 42000 Port Klang, Selangor, Malaysia",3.0309948,101.3821337,Bandar Sultan Suleiman,,Selangor,Selangor,,Port Klang,Malaysia,MY,42000,google,
1126,Rendah,PPD KLANG,BBA0030,SK MERU,PERSIARAN HAMZAH ALANG,42200,KAPAR,SELANGOR,333923910,333923910,"Persiaran Hamzah Alang, Selangor, Malaysia",3.136174,101.4075414,,,Selangor,Selangor,Persiaran Hamzah Alang,,Malaysia,MY,,google,
1127,Rendah,PPD KLANG,BBA0031,SK KAMPUNG IDAMAN,JALAN IDAMAN 17,42000,PELABUHAN KLANG,SELANGOR,331681569,331650350,"Jalan Idaman 17, Kampung Idaman, 42000 Pelabuhan Klang, Selangor, Malaysia",2.9935074,101.4266099,Kampung Idaman,,Selangor,Selangor,Jalan Idaman 17,Pelabuhan Klang,Malaysia,MY,42000,google,
1125,Rendah,PPD KLANG,BBA0029,SK ABDUL SAMAT,"BATU 11, JALAN KAPAR",42200,KAPAR,SELANGOR,332509263,332509263,"11, Jalan Kapar, Taman Sentosa, 42200 Kapar, Selangor, Malaysia",3.1330276,101.3760183,Taman Sentosa,,Selangor,Selangor,Jalan Kapar,Kapar,Malaysia,MY,42200,google,11
1115,Rendah,PPD KLANG,BBA0017,SK PANDAMARAN JAYA,"JALAN 12, PANDAMARAN JAYA",42000,PELABUHAN KLANG,SELANGOR,331673389,331651993,"Jalan Pandamaran Jaya 12, Kampung Sijangkang, 42000 Pelabuhan Klang, Selangor, Malaysia",3.0066397,101.4228597,Kampung Sijangkang,,Selangor,Selangor,Jalan Pandamaran Jaya 12,Pelabuhan Klang,Malaysia,MY,42000,google,
1130,Rendah,PPD KLANG,BBA0034,SK TAMAN SRI ANDALAS,"JALAN TUN DR. ISMAIL, OFF JALAN LANGAT",41200,KLANG,SELANGOR,333721713,333726148,"Jalan Tun Dr. Ismail, Taman Sri Andalas, 41000 Klang, Selangor, Malaysia",3.01838,101.4519398,Taman Sri Andalas,,Selangor,Selangor,Jalan Tun Dr. Ismail,Klang,Malaysia,MY,41000,google,
1131,Rendah,PPD KLANG,BBA0035,SK TAMAN GEMBIRA,"JALAN HILIR DUA, TELOK GADONG",41100,KLANG,SELANGOR,333729943,333710324,"Jalan Hilir 2, Taman Gembira, 41100 Klang, Selangor, Malaysia",3.03559,101.4272924,Taman Gembira,,Selangor,Selangor,Jalan Hilir 2,Klang,Malaysia,MY,41100,google,
1139,Rendah,PPD KLANG,BBA0043,SK BUKIT RIMAU,"11 PERSIARAN SUNGAI SELANGOR, SEKSYEN 32",40460,SHAH ALAM,SELANGOR,351224148,351224148,"Jalan Sungai Renggam 32/11, Seksyen 32, 40460 Shah Alam, Selangor, Malaysia",2.985088,101.5188831,Seksyen 32,,Selangor,Selangor,Jalan Sungai Renggam 32/11,Shah Alam,Malaysia,MY,40460,google,
1128,Rendah,PPD KLANG,BBA0032,SK TAMAN KLANG UTAMA,JALAN HAJI SIRAT,42100,KLANG,SELANGOR,332918212,332918212,"Jalan Haji Sirat, Klang, Selangor, Malaysia",3.0780295,101.4269313,,,Selangor,Selangor,Jalan Haji Sirat,Klang,Malaysia,MY,,google,
1133,Rendah,PPD KLANG,BBA0037,SK BUKIT KEMUNING 2,"LOT N0 4, JALAN ANGGERIK DORITIS 31/143",40460,SHAH ALAM,SELANGOR,351227124,351219914,"4, Jalan Anggerik Doritis 31/128, Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia",2.9853304,101.5374457,Kota Kemuning,,Selangor,Selangor,Jalan Anggerik Doritis 31/128,Shah Alam,Malaysia,MY,40460,google,4
1129,Rendah,PPD KLANG,BBA0033,SK KAMPUNG JAWA,"JALAN KOTA RAJA, KAMPUNG JAWA",41000,KLANG,SELANGOR,333732731,333732731,"Jalan Kota Raja, 41000, Selangor, Malaysia",3.0290479,101.4680729,,,Selangor,Selangor,Jalan Kota Raja,,Malaysia,MY,41000,google,
1135,Rendah,PPD KLANG,BBA0039,SK SUNGAI KAPAR INDAH,"JLN SUNGAI KAPAR INDAH 6, TMN SUNGAI KAPAR INDAH",42200,KAPAR,SELANGOR,332902324,332904355,"Jalan Sungai Kapar Indah 6, Sungai Kapar Indah, 42200 Kapar, Selangor, Malaysia",3.0997605,101.3837584,Sungai Kapar Indah,,Selangor,Selangor,Jalan Sungai Kapar Indah 6,Kapar,Malaysia,MY,42200,google,
1136,Rendah,PPD KLANG,BBA0040,SEKOLAH KEBANGSAAN KOTA KEMUNING,"JALAN ANGGERIK ARANDA 31/8, KOTA KEMUNING",40460,SHAH ALAM,SELANGOR,351216436,351210657,"Jalan Anggerik Aranda 31/8, Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia",2.9971871,101.5486488,Kota Kemuning,,Selangor,Selangor,Jalan Anggerik Aranda 31/8,Shah Alam,Malaysia,MY,40460,google,
1132,Rendah,PPD KLANG,BBA0036,SK BUKIT TINGGI,BANDAR BUKIT TINGGI,41200,KLANG,SELANGOR,333240137,333240137,"Bandar Bukit Tinggi, Port Klang, Selangor, Malaysia",3.00699,101.433901,Bandar Bukit Tinggi,,Selangor,Selangor,,Port Klang,Malaysia,MY,,google,
1134,Rendah,PPD KLANG,BBA0038,SK MERU (2),"JALAN PAIP, PEKAN MERU",41050,KLANG,SELANGOR,333931598,333927951,"Jalan Paip, Meru, 41050 Klang, Selangor, Malaysia",3.1498874,101.4569206,Meru,,Selangor,Selangor,Jalan Paip,Klang,Malaysia,MY,41050,google,
1138,Rendah,PPD KLANG,BBA0042,SK PULAU INDAH (2),"BANDAR ARMADA PUTRA, PULAU INDAH",42900,PELABUHAN KLANG,SELANGOR,331014070,331014070,"Jalan Sungai Chandong 9, Bandar Armada Putra, 42000 Pelabuhan Klang, Selangor, Malaysia",2.980702,101.3467871,Bandar Armada Putra,,Selangor,Selangor,Jalan Sungai Chandong 9,Pelabuhan Klang,Malaysia,MY,42000,google,
1137,Rendah,PPD KLANG,BBA0041,SK KAMPUNG JAWA 2,JALAN KOTA RAJA,41000,KLANG,SELANGOR,333725391,333713435,"Jalan Kota Raja, 41000 Klang, Selangor, Malaysia",3.0286412,101.4669601,,,Selangor,Selangor,Jalan Kota Raja,Klang,Malaysia,MY,41000,google,
1141,Rendah,PPD KUALA LANGAT,BBA1002,SK SUNGAI BUAYA,KAMPUNG SUNGAI BUAYA,42700,BANTING,SELANGOR,331202514,331202514,"Kampung Sungai Buaya, 42700 Banting, Selangor, Malaysia",2.8397724,101.463657,Kampung Sungai Buaya,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1142,Rendah,PPD KUALA LANGAT,BBA1003,SK BANDAR,"JALAN ISTANA, KAMPUNG BANDAR",42700,BANTING,SELANGOR,331202645,331202645,"Jalan Istana Lama, Kampung Bandar, 42700 Banting, Selangor, Malaysia",2.8619472,101.4407545,Kampung Bandar,,Selangor,Selangor,Jalan Istana Lama,Banting,Malaysia,MY,42700,google,
1140,Rendah,PPD KLANG,BBA0044,SK BATU UNJUR,JALAN BATU NILAM 1/KS 6,41200,KLANG,SELANGOR,333263063,333263064,"Lot G1, Tesco Klang, No. 3 Jln Batu Nilam 6/KS6 , Bandar Bukit Tinggi,, 41200 Klang, Selangor, Malaysia",3.005893,101.440924,,,Selangor,Selangor,,Klang,Malaysia,MY,41200,google,
1145,Rendah,PPD KUALA LANGAT,BBA1006,SK LABOHAN DAGANG,KG. LABOHAN DAGANG,42700,BANTING,SELANGOR,331493776,331493776,"Kampung Labohan Dagang, 42700 Banting, Selangor, Malaysia",2.804547,101.6227451,Kampung Labohan Dagang,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1143,Rendah,PPD KUALA LANGAT,BBA1004,SK SUNGAI MANGGIS,KAMPONG SUNGAI MANGGIS,42700,BANTING,SELANGOR,331875481,331875481,"Kampung Sungai Manggis, 42700 Banting, Selangor, Malaysia",2.832579,101.5487161,Kampung Sungai Manggis,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1146,Rendah,PPD KUALA LANGAT,BBA1007,SK BKT CHANGGANG,"KG. BUKIT CHANGGANG,BANTING, KUALA LANGAT",42700,BANTING,SELANGOR,331491141,331491141,"Kampong Bukit Changgang, Banting, Selangor, Malaysia",2.828903,101.6278139,Kampong Bukit Changgang,,Selangor,Selangor,,Banting,Malaysia,MY,,google,
1148,Rendah,PPD KUALA LANGAT,BBA1009,SK TELOK PANGLIMA GARANG,PEKAN TELOK,42500,TELOK PANGLIMA GARANG,SELANGOR,331228453,331228453,"Jalan Klang Banting, Pekan Telok, 42500 Telok Panglima Garang, Selangor, Malaysia",2.9062835,101.4691216,Pekan Telok,,Selangor,Selangor,Jalan Klang Banting,Telok Panglima Garang,Malaysia,MY,42500,google,
1144,Rendah,PPD KUALA LANGAT,BBA1005,SK OLAK LEMPIT,KAMPUNG OLAK LEMPIT,42700,BANTING,SELANGOR,331491381,331491381,"Kampung Olak Lempit, 42700 Banting, Selangor, Malaysia",2.83102,101.5991187,,,Selangor,Selangor,Kampung Olak Lempit,Banting,Malaysia,MY,42700,google,
1147,Rendah,PPD KUALA LANGAT,BBA1008,SK JENJAROM,JALAN SEKOLAH,42600,JENJAROM,SELANGOR,331914336,331911948,"Jalan Sekolah, Kampung Jenjarom, 42600 Jenjarom, Selangor, Malaysia",2.8826873,101.5196769,Kampung Jenjarom,,Selangor,Selangor,Jalan Sekolah,Jenjarom,Malaysia,MY,42600,google,
1150,Rendah,PPD KUALA LANGAT,BBA1011,SK SIJANGKANG,KG SIJANGKANG,42500,TELOK PANGLIMA GARANG,SELANGOR,331226158,331227680,"Kampung Sijangkang, 42500 Telok Panglima Garang, Selangor, Malaysia",2.945875,101.4450548,Kampung Sijangkang,,Selangor,Selangor,,Telok Panglima Garang,Malaysia,MY,42500,google,
1149,Rendah,PPD KUALA LANGAT,BBA1010,SK KEBUN BAHARU,KAMPUNG KEBUN BAHARU,42500,TELOK PANGLIMA GARANG,SELANGOR,331228415,331220500,"Kampung Kebun Baru, Telok Panglima Garang, Selangor, Malaysia",2.917989,101.494548,Kampung Kebun Baru,,Selangor,Selangor,,Telok Panglima Garang,Malaysia,MY,,google,
1151,Rendah,PPD KUALA LANGAT,BBA1012,SK SG  BUMBUN (A),PULAU CAREY,42960,KUALA LANGAT,SELANGOR,331850423,TIADA,"42960, Selangor, Malaysia",2.8213219,101.3658004,,,Selangor,Selangor,,,Malaysia,MY,42960,google,
1152,Rendah,PPD KUALA LANGAT,BBA1013,SK SUNGAI JUDAH,KAMPUNG SUNGAI JUDAH,42960,PULAU CAREY,SELANGOR,331032758,TIADA,"42960 Carey Island, Selangor, Malaysia",2.8429991,101.3501737,,,Selangor,Selangor,,Carey Island,Malaysia,MY,42960,google,
1154,Rendah,PPD KUALA LANGAT,BBA1015,SK SERI CHEDING,KG. SERI CHEDING,42700,BANTING,SELANGOR,331911413,331911413,"Kampung Seri Cheeding, Banting, Selangor, Malaysia",2.889848,101.5504409,Kampung Seri Cheeding,,Selangor,Selangor,,Banting,Malaysia,MY,,google,
1153,Rendah,PPD KUALA LANGAT,BBA1014,SK BUKIT TADOM,SK BUKIT TADOM (A),42700,BANTING,SELANGOR,331491128,331491128,"Bukit Tadom, 42700 Banting, Selangor, Malaysia",2.804621,101.623437,Bukit Tadom,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1155,Rendah,PPD KUALA LANGAT,BBA1016,SK (ASLI) BKT CHEDING,SK BUKIT CHEDING,42700,BANTING,SELANGOR,331916158,331916158,"Jalan Permata Kanan, Kampung Bukit Changgang, 42700 Banting, Selangor, Malaysia",2.831903,101.6276659,Kampung Bukit Changgang,,Selangor,Selangor,Jalan Permata Kanan,Banting,Malaysia,MY,42700,google,
1157,Rendah,PPD KUALA LANGAT,BBA1024,SK BATU LAUT,TANJONG SEPAT,42800,TANJONG SEPAT,SELANGOR,331481066,331481066,"42800, Selangor, Malaysia",2.7023274,101.5475409,,,Selangor,Selangor,,,Malaysia,MY,42800,google,
1158,Rendah,PPD KUALA LANGAT,BBA1025,SK KAMPONG ENDAH,KAMPONG ENDAH,42700,BANTING,SELANGOR,331982930,331982930,"Kampung Endah, 42700 Banting, Selangor, Malaysia",2.7123536,101.4743591,Kampung Endah,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1156,Rendah,PPD KUALA LANGAT,BBA1023,SK TG SEPAT,JALAN SEKOLAH KG TG SEPAT,42800,TANJONG SEPAT,SELANGOR,331975839,331973297,"Jalan Sekolah, Pekan Tanjung Sepat, 42800 Tanjong Sepat, Selangor, Malaysia",2.660066,101.558899,Pekan Tanjung Sepat,,Selangor,Selangor,Jalan Sekolah,Tanjong Sepat,Malaysia,MY,42800,google,
1159,Rendah,PPD KUALA LANGAT,BBA1026,SK MORIB,JALAN MORIB,42700,BANTING,SELANGOR,331982394,331982394,"Kuarters Jalan Morib, 42700 Banting, Selangor, Malaysia",2.80443,101.4974588,Kuarters Jalan Morib,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1160,Rendah,PPD KUALA LANGAT,BBA1027,SK KANCHONG DARAT,"JALAN SULTAN ALAM SHAH, KANCHONG DARAT",42700,BANTING,SELANGOR,331871424,331875054,"Jalan Sultan Alam Shah, Kanchong Darat, 42700 Banting, Selangor, Malaysia",2.7874863,101.4828681,Kanchong Darat,,Selangor,Selangor,Jalan Sultan Alam Shah,Banting,Malaysia,MY,42700,google,
1161,Rendah,PPD KUALA LANGAT,BBA1028,SK SG LANG,SUNGAI LANG,42700,BANTING,SELANGOR,331877744,331802322,"Kampung Sungai Lang, 42700 Banting, Selangor, Malaysia",2.790106,101.5114291,Kampung Sungai Lang,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1162,Rendah,PPD KUALA LANGAT,BBA1029,SK SERI LANANG,KG. KELANANG,42700,BANTING,SELANGOR,331201340,331201340,"Kampung Kelanang, Banting, Selangor, Malaysia",2.798405,101.4319192,Kampung Kelanang,,Selangor,Selangor,,Banting,Malaysia,MY,,google,
1163,Rendah,PPD KUALA LANGAT,BBA1030,SK PERMATANG PASIR,PERMATANG PASIR,42700,BANTING,SELANGOR,331203199,331203199,"Permatang Pasir, 42700 Banting, Selangor, Malaysia",2.838938,101.4362888,Permatang Pasir,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1166,Rendah,PPD KUALA LANGAT,BBA1033,SK JALAN TANJUNG,BATU 9 KG SIJANGKANG,42500,TLK. P. GARANG,SELANGOR,331221702,331227984,"B129 Jalan Kebun Baru Batu 9, Kampung Batu 9 Kebun Baru, 42500 Telok Panglima Garang, Selangor, Malaysia",2.9327376,101.4918799,Kampung Batu 9 Kebun Baru,,Selangor,Selangor,B129 Jalan Kebun Baru Batu 9,Telok Panglima Garang,Malaysia,MY,42500,google,
1167,Rendah,PPD KUALA LANGAT,BBA1034,SK KANCHONG TENGAH,KG. KANCHONG TENGAH,42700,BANTING,SELANGOR,331812104,331812104,"Kampung Kanchong Tengah, 42700 Banting, Selangor, Malaysia",2.761583,101.4975961,Kampung Kanchong Tengah,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1169,Rendah,PPD KUALA LANGAT,BBA1036,SK RTB BUKIT CHANGGANG,"RANCANGAN TANAH BELIA, BUKIT CHANGGANG,",42700,BANTING,SELANGOR,331491651,331491651,"No 2, Lot 169, Lorong Cempaka, Rancangan Tanah Belia,, Bukit Changgang,, 42700 Banting, Selangor, Malaysia",2.80417,101.656494,,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1164,Rendah,PPD KUALA LANGAT,BBA1031,SK SG KELAMBU,KG SUNGAI KELAMBU,42700,BANTING,SELANGOR,331816012,331816012,"Kampung Sungai Kelambu, 42700 Banting, Selangor, Malaysia",2.7899031,101.5469467,Kampung Sungai Kelambu,,Selangor,Selangor,,Banting,Malaysia,MY,42700,google,
1171,Rendah,PPD KUALA LANGAT,BBA1038,SK BANDAR BANTING,PERSIARAN MAJLIS,42700,BANTING,SELANGOR,331876866,331818334,"Persiaran Majlis, Taman Budiman, 42700 Banting, Selangor, Malaysia",2.8028856,101.498365,Taman Budiman,,Selangor,Selangor,Persiaran Majlis,Banting,Malaysia,MY,42700,google,
1173,Rendah,PPD KUALA SELANGOR,BBA3001,SK ASSAM JAWA (INTEG),"KM 38.4, JALAN KLANG KUALA SELANGOR",45700,BUKIT ROTAN,SELANGOR,332893976,60332893976,,,,,,,,,,,,,,
1165,Rendah,PPD KUALA LANGAT,BBA1032,SK KAMPUNG MEDAN,BATU 9 KAMPUNG MEDAN TELOK PANGLIMA GARANG,42500,BANTING,SELANGOR,331228721,331229690,"Batu 9, Sejangkang, Kampung Medan, Selangor, 42500 Telok Panglima Garang, Malaysia",2.9260252,101.4746883,,,,,,Telok Panglima Garang,Malaysia,MY,42500,google,
1170,Rendah,PPD KUALA LANGAT,BBA1037,SK JUGRA,JALAN SULTAN ABDUL SAMAD,42700,BANTING,SELANGOR,331851303,331850475,"Jalan Sultan Abdul Samad, 42700 Banting, Selangor, Malaysia",2.8134274,101.4865432,,,Selangor,Selangor,Jalan Sultan Abdul Samad,Banting,Malaysia,MY,42700,google,
1177,Rendah,PPD KUALA SELANGOR,BBA3005,SK TAMBAK JAWA,"KILOMETER 26, JERAM",45800,JERAM,SELANGOR,332508446,332508446,,,,,,,,,,,,,,
1172,Rendah,PPD KUALA LANGAT,BBA1039,SK (ASLI) BUKIT KEMANDOL,"JALAN DESA KEMANDOL 1, TAMAN DESA KEMANDOL",42610,JENJAROM,SELANGOR,333631323,,,,,,,,,,,,,,,
1174,Rendah,PPD KUALA SELANGOR,BBA3002,SK BKT BADONG,"BATU 3, KAMPUNG BUKIT BADONG",45600,BESTARI JAYA,SELANGOR,332791342,332791342,"Kampung Bukit Badong, 45000 Batang Berjuntai, Selangor, Malaysia",3.336206,101.4135412,Kampung Bukit Badong,,Selangor,Selangor,,Batang Berjuntai,Malaysia,MY,45000,google,
1184,Rendah,PPD KUALA SELANGOR,BBA3012,SK TANJUNG KERAMAT,JALAN KERAMAT TANJUNG,45000,KUALA SELANGOR,SELANGOR,332891733,332891733,"Jalan Tanjong Keramat, 45000 Kuala Selangor, Selangor, Malaysia",3.3458937,101.243193,,,Selangor,Selangor,Jalan Tanjong Keramat,Kuala Selangor,Malaysia,MY,45000,google,
