Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
843,Rendah,PPD LARUT/MATANG/SELAMA,ABD6118,SJK(T) LADANG TEMERLOH,LADANG TEMERLOH,34800,TRONG,PERAK,058545007,058545007
844,Rendah,PPD LARUT/MATANG/SELAMA,ABD6120,SJK(T) LADANG STOUGHTON,BATU KURAU,34510,BATU KURAU,PERAK,058801085,058801085
845,Rendah,PPD HULU PERAK,ABD7047,SJK(T) PENGKALAN HULU,JALAN BETONG,33100,PENGKALAN HULU,PERAK,044778909,044778909
846,Rendah,PPD HULU PERAK,ABD7048,SJK(T) GERIK,JALAN SULTAN ISKANDAR,33300,GERIK,PERAK,057917490,057917490
847,Rendah,PPD HULU PERAK,ABD7049,SJK(T) LADANG KOTA LIMA,TAMAN KOTA TAMPAN,33400,LENGGONG,PERAK,057960018,057960018
848,Rendah,PPD PERAK TENGAH,ABD8451,SJK(T) LADANG GLENEALY,JALAN TAMAN SRI ARA,32800,PARIT,PERAK,053772476,053772476
849,Rendah,PPD PERAK TENGAH,ABD8452,SJK(T) LADANG SERAPOH,LADANG SERAPOH,32810,PARIT,PERAK,057432786,057432786
850,Rendah,PPD PERAK TENGAH,ABD8453,SJK(T) LADANG BULOH AKAR,LADANG BULUH AKAR,32810,PARIT,PERAK,052563860,052563860
851,Rendah,PPD KRIAN,ACT3001,SEK.REN.ISLAM AL-EHYA ASSHARIFF,GUNONG SEMANGGOL SIMPANG EMPAT,34400,SEMANGGOL,PERAK,058902441,058902441
852,Rendah,PPD KRIAN,ACT3002,SRA AR-RIDHWANIAH,"TELOK MEDAN, JALAN TAIPING",34300,BAGAN SERAI,PERAK,057214251,057214251
853,Menengah,PPD BATANG PADANG,AEA0033,SMK HAMID KHAN,JALAN DAMAI,35000,TAPAH,PERAK,054011181,054014200
854,Menengah,PPD BATANG PADANG,AEA0034,SMK KHIR JOHARI,JALAN BEROP,35900,TANJONG MALIM,PERAK,054596334,054582454
855,Menengah,PPD BATANG PADANG,AEA0035,SMK TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,PERAK,054322303,054321125
856,Menengah,PPD BATANG PADANG,AEA0036,SMK SLIM,"JLN MELATI, TAMAN SEROJA",35800,SLIM RIVER,PERAK,054528926,054520514
857,Menengah,PPD BATANG PADANG,AEA0037,SMK (FELDA) BESOUT,FELDA BESOUT 1,35600,SUNGKAI,PERAK,054311721,054311721
858,Menengah,PPD BATANG PADANG,AEA0038,SMK SUNGAI KERUIT,SIMPANG SUNGAI KLAH,35600,SUNGKAI,PERAK,054388308,054386443
859,Menengah,PPD BATANG PADANG,AEA0039,SMK AIR KUNING,JALAN DEGONG,31920,MAMBANG DI AWAN,PERAK,054789879,054789879
860,Menengah,PPD BATANG PADANG,AEA0040,SMK CHENDERIANG,"KM 2, JALAN TEMOH TAPAH",35350,TEMOH,PERAK,054199328,054190145
861,Menengah,PPD BATANG PADANG,AEA0041,SMK TAPAH,JALAN BIDOR LAMA,35000,TAPAH,PERAK,054013677,054013677
862,Menengah,PPD BATANG PADANG,AEA0042,SMK BIDOR,JALAN TELUK INTAN,35500,BIDOR,PERAK,054347127,054340400
863,Menengah,PPD BATANG PADANG,AEA0043,SM SAINS TAPAH,"BATU 2, JALAN PAHANG",35000,TAPAH,PERAK,054018745,054018743
864,Menengah,PPD BATANG PADANG,AEA0044,SMK BANDAR BEHRANG 2020,BANDAR BEHRANG 2020,35900,TANJONG MALIM,PERAK,054581172,054581168
865,Menengah,PPD MANJUNG,AEA1109,SMK SERI MANJUNG,SERI MANJUNG,32040,SERI MANJUNG,PERAK,056881372,056887133
866,Menengah,PPD MANJUNG,AEA1110,SMK AHMAD BOESTAMAM,JLN HJ MOHD ALI,32000,SITIAWAN,PERAK,056911552,056927724
867,Menengah,PPD MANJUNG,AEA1111,SMK PANGKALAN TLDM,PANGKALAN TLDM LUMUT,32100,LUMUT,PERAK,056835848,056833601
868,Menengah,PPD MANJUNG,AEA1112,SMK BATU SEPULUH,LEKIR,32020,SITIAWAN,PERAK,056798310,056798314
869,Menengah,PPD MANJUNG,AEA1113,SMK PANTAI REMIS,JALAN TAMAN BINTANG,34900,PANTAI REMIS,PERAK,056775484,056779400
870,Menengah,PPD MANJUNG,AEA1114,SMK SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,056882140,056882161
871,Menengah,PPD MANJUNG,AEA1115,SMK CHANGKAT BERUAS,JALAN TAIPING,32700,BERUAS,PERAK,056749655,056748240
872,Menengah,PPD MANJUNG,AEA1116,SMK KG. DATO' SERI KAMARUDDIN,SERI MANJUNG,32040,SERI MANJUNG,PERAK,056881332,056881394
873,Menengah,PPD KINTA UTARA,AEA2041,SMK RAJA  CHULAN,JALAN DAIRY,31400,IPOH,PERAK,055457082,055456289
874,Menengah,PPD KINTA SELATAN,AEA2042,SMK SRI KAMPAR,JALAN ISKANDAR,31900,KAMPAR,PERAK,054661359,054659155
875,Menengah,PPD KINTA UTARA,AEA2043,SMK JALAN PASIR PUTEH,JALAN PASIR PUTEH,31650,IPOH,PERAK,052530520,052557442
876,Menengah,PPD KINTA UTARA,AEA2044,SMK GUNUNG RAPAT,JLN TEOH KIM SWEE,31350,IPOH,PERAK,053122855,053132067
877,Menengah,PPD KINTA UTARA,AEA2045,SMK RAJA PERMAISURI BAINUN,"JALAN INTAN, KAMPUNG DATO' AHMAD SAID",30020,IPOH,PERAK,055267522,055265334
878,Menengah,PPD KINTA UTARA,AEA2046,SMK DATO' HJ. MOHD TAIB,JALAN SEKOLAH,31200,CHEMOR,PERAK,052011808,052014029
879,Menengah,PPD KINTA UTARA,AEA2047,SMK SERI KELEDANG,PERSIARAN KELEDANG TIMUR 2,31450,MENGLEMBU,PERAK,052813240,052823433
880,Menengah,PPD KINTA UTARA,AEA2048,SMK KG. DATO' AHMAD SAID,LEBUH RAJAWALI,30020,IPOH,PERAK,055270020,050266441
881,Menengah,PPD KINTA UTARA,AEA2049,SMK KG PASIR PUTEH,JALAN PENGKALAN BARAT 18,31650,IPOH,PERAK,053225150,053221615
882,Menengah,PPD KINTA UTARA,AEA2050,SMK SERI AMPANG,JALAN GUNUNG RAPAT,31350,IPOH,PERAK,053130929,053130929
883,Menengah,PPD KINTA UTARA,AEA2051,SMK JALAN TASEK,"JALAN SULTAN AZLAN SHAH (U), TAMAN TASEK INDRA",31400,IPOH,PERAK,055497606,055450058
884,Menengah,PPD KINTA UTARA,AEA2052,SMK SIMPANG PULAI,TAMAN PULAI JAYA,31300,KG. KEPAYANG,PERAK,053575627,053576516
885,Menengah,PPD KINTA UTARA,AEA2053,SMK LAHAT,"PERSIARAN LAHAT BARU 6,  BANDAR LAHAT BARU",31500,LAHAT,PERAK,053228995,053235041
886,Menengah,PPD KINTA UTARA,AEA2054,SMK TASEK DAMAI,JALAN TAWAS BARU UTARA,30010,IPOH,PERAK,052917200,052921275
887,Menengah,PPD KINTA UTARA,AEA2055,SMK TANJONG RAMBUTAN,JALAN CHEMOR,31250,TANJONG RAMBUTAN,PERAK,055336770,055331722
888,Menengah,PPD KINTA UTARA,AEA2056,SMK JELAPANG JAYA,JELAPANG,30020,IPOH,PERAK,055282149,055282148
889,Menengah,PPD KINTA UTARA,AEA2057,SMK PENGKALAN,TAMAN PINJI MEWAH,31500,LAHAT,PERAK,053288201,053288202
890,Menengah,PPD KINTA UTARA,AEA2058,SMK BERCHAM,HALA TASIK TIMUR 32,31400,IPOH,PERAK,055461962,055462177
891,Menengah,PPD KINTA UTARA,AEA2059,SMK PUSING,LEBUHRAYA EKSPRES IPOH LUMUT,31000,BATU GAJAH,PERAK,052883955,052884801
892,Menengah,PPD KINTA UTARA,AEA2060,SMK BUNTONG,"PERSIARAN RISHAH (S) 1/1B, DESA RISHAH",30100,IPOH,PERAK,052823242,052828242
893,Menengah,PPD KINTA UTARA,AEA2061,SMK WIRA JAYA,HALAMAN AMPANG MEWAH,31350,IPOH,PERAK,053114339,053114270
894,Menengah,PPD KINTA UTARA,AEA2062,SMK JATI,TAMAN JATI,30020,IPOH,PERAK,055265082,055265062
895,Menengah,PPD KINTA UTARA,AEA2063,SMK PINJI,JALAN PERSIARAN BUNGA RAYA,31650,IPOH,PERAK,053221523,053221523
896,Menengah,PPD KINTA SELATAN,AEA2064,SMK SENTOSA,TAMAN BANDAR BARU,31900,KAMPAR,PERAK,054671220,054671221
897,Menengah,PPD KINTA UTARA,AEA2065,SMK RAPAT SETIA,"JALAN TENAGA, RAPAT SETIA",31350,IPOH,PERAK,053113385,053127284
898,Menengah,PPD KINTA UTARA,AEA2066,SMK TAMBUN,"JALAN TANJUNG RAMBUTAN, TAMBUN",31400,IPOH,PERAK,055424841,055424842
899,Menengah,PPD KINTA UTARA,AEA2067,SMK BANDAR BARU PUTRA,"PERSIARAN PUTRA 9, BANDAR BARU PUTRA",31400,IPOH,PERAK,055336437,055336470
900,Menengah,PPD KINTA UTARA,AEA2302,SMK ULU KINTA,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,PERAK,055331363,055330445
901,Menengah,PPD KINTA SELATAN,AEA2303,SMK SERI TEJA,BT 1  JLN KOTA BHARU,31600,GOPENG,PERAK,053591264,053595845
902,Menengah,PPD KRIAN,AEA3038,SMK PANGLIMA BUKIT GANTANG,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,057161161,057175322
903,Menengah,PPD KRIAN,AEA3039,SMK SRI PERAK,JALAN ASUHAN,34200,PARIT BUNTAR,PERAK,057161136,057176989
904,Menengah,PPD KRIAN,AEA3040,SMK ALANG ISKANDAR,JALAN KURAU,34300,BAGAN SERAI,PERAK,057210346,057216970
905,Menengah,PPD KRIAN,AEA3041,SMK ALOR PONGSU,ALOR PONGSU,34300,BAGAN SERAI,PERAK,057216957,057217539
906,Menengah,PPD KRIAN,AEA3086,SMK RAJA LOPE NOR RASHID,JALAN BAWAH,34250,TANJONG PIANDANG,PERAK,057256269,057250268
907,Menengah,PPD KRIAN,AEA3087,SMK KUALA KURAU,JALAN PANTAI KUALA KURAU,34350,KUALA KURAU,PERAK,057277651,057279636
908,Menengah,PPD KRIAN,AEA3088,SMK ABU BAKAR AL-BAQIR,SUNGAI GEDONG,34300,BAGAN SERAI,PERAK,057217518,057218458
909,Menengah,PPD KRIAN,AEA3089,SMK GUNUNG SEMANGGOL,TEBUK PANCHUR,34400,SIMPANG EMPAT SEMANGGOL,PERAK,058921110,058921111
910,Menengah,PPD KRIAN,AEA3090,SMK PEKAN BARU,"JALAN MERBOK, TAMAN PEKAN BARU",34200,PARIT BUNTAR,PERAK,057164277,057165260
911,Menengah,PPD KRIAN,AEA3091,SMK SELINSING,SIMPANG EMPAT,34400,SEMANGGOL,PERAK,058901971,058901769
912,Menengah,PPD KUALA KANGSAR,AEA4082,SMK BUKIT MERCHU,JALAN SULTAN ISKANDAR SHAH,33000,KUALA KANGSAR,PERAK,057731140,057731144
913,Menengah,PPD KUALA KANGSAR,AEA4083,SMK TEMENGGONG,KATI,33020,KUALA KANGSAR,PERAK,057523210,057521946
914,Menengah,PPD KUALA KANGSAR,AEA4085,SEKOLAH MENENGAH TOH MUDA ABDUL AZIZ SUNGAI SIPUT (U),JALAN SENTOSA,31100,SUNGAI SIPUT (U),PERAK,055951370,055951371
915,Menengah,PPD KUALA KANGSAR,AEA4086,SMK SIMPANG BELURU,ENGGOR,33600,KUALA KANGSAR,PERAK,057731131,057731132
916,Menengah,PPD KUALA KANGSAR,AEA4087,SMK MUHIBBAH,SIMPANG JALONG,31100,SUNGAI SIPUT (U),PERAK,055951350,055951351
917,Menengah,PPD KUALA KANGSAR,AEA4131,SMK RLKT LASAH,FELDA LASAH,31120,SUNGAI SIPUT (U),PERAK,055918182,055911037
918,Menengah,PPD KUALA KANGSAR,AEA4141,SMK SAYONG,JALAN PARIT - SAYONG,33040,KUALA KANGSAR,PERAK,057731121,057731120
919,Menengah,PPD HILIR PERAK,AEA5072,SMK SUNGAI MANIK,SUNGAI MANIK,36000,TELUK INTAN,PERAK,056221825,056221825
920,Menengah,PPD HILIR PERAK,AEA5073,SMK SERI PERAK,JALAN CHANGKAT JONG,36000,TELUK INTAN,PERAK,056221707,056227573
921,Menengah,PPD HILIR PERAK,AEA5074,SMK SULTAN ABDULLAH,BATU 11 1/2 JALAN CHENDERONG BALAI,36600,CHENDERONG BALAI,PERAK,056511835,056511260
922,Menengah,PPD HILIR PERAK,AEA5075,SMK ULU BERNAM,"BAHAGIAN SATU, LADANG ULU BERNAM",36500,ULU BERNAM,PERAK,056366107,056366096
923,Menengah,PPD HILIR PERAK,AEA5076,SMK HUTAN MELINTANG,SIMPANG EMPAT,36400,HUTAN MELINTANG,PERAK,056411378,056415516
924,Menengah,PPD HILIR PERAK,AEA5077,SM (SAINS) TELOK INTAN,BATU 8 JALAN HUTAN MELINTANG,36000,TELUK INTAN,PERAK,056411711,056411155
925,Menengah,PPD HILIR PERAK,AEA5078,SMK ABDUL RAHMAN TALIB,JALAN CHANGKAT JONG,36000,TELUK INTAN,PERAK,056216070,056232826
926,Menengah,PPD HILIR PERAK,AEA5079,SMK SERI SETIA,JALAN PADANG TEMBAK,36000,TELUK INTAN,PERAK,056225628,056236148
927,Menengah,PPD HILIR PERAK,AEA5080,SMK SERI KANDI,JALAN PADANG TEMBAK,36000,TELUK INTAN,PERAK,056221667,056237521
928,Menengah,PPD HILIR PERAK,AEA5081,SMK SERI PERKASA,JALAN SABAK BERNAM,36400,HUTAN MELINTANG,PERAK,056416680,056418109
929,Menengah,PPD HILIR PERAK,AEA5082,SMK RUNGKUP,JALAN RUNGKUP,36200,SELEKOH,PERAK,056467021,056468701
930,Menengah,PPD HILIR PERAK,AEA5083,SM SAINS BAGAN DATOH,JALAN BAGAN DATOH,36100,BAGAN DATOH,PERAK,056466331,056466332
931,Menengah,PPD LARUT/MATANG/SELAMA,AEA6048,SMK DOKTOR BURHANUDDIN,"NO 58, JALAN RAJA SULONG, KG BOYAN",34000,TAIPING,PERAK,058072213,058072842
932,Menengah,PPD LARUT/MATANG/SELAMA,AEA6049,SMK SUNGAI BAYOR,SIMPANG TIGA,34140,RANTAU PANJANG,PERAK,058394580,058394580
933,Menengah,PPD LARUT/MATANG/SELAMA,AEA6050,SM SAINS RAJA TUN AZLAN SHAH,PETI SURAT 79,34000,TAIPING,PERAK,058083020,058062576
934,Menengah,PPD LARUT/MATANG/SELAMA,AEA6051,SMK SIMPANG,JALAN MATANG,34700,SIMPANG,PERAK,058471144,058483615
935,Menengah,PPD LARUT/MATANG/SELAMA,AEA6052,SMK KAMUNTING,JLN KG EXPO,34600,KAMUNTING,PERAK,058913723,058913741
936,Menengah,PPD LARUT/MATANG/SELAMA,AEA6053,SMK DATO' WAN AHMAD RASDI,JALAN TRONG,34850,CHANGKAT JERING,PERAK,058552661,058554429
937,Menengah,PPD LARUT/MATANG/SELAMA,AEA6054,SMK JELAI,"JALAN BESAR, JELAI",34520,BATU KURAU,PERAK,058881627,058881323
938,Menengah,PPD LARUT/MATANG/SELAMA,AEA6055,SMK TAMAN TASIK,JALAN NEPTUNE,34000,TAIPING,PERAK,058085181,058053673
939,Menengah,PPD LARUT/MATANG/SELAMA,AEA6056,SMK BUKIT JANA,JALAN BATU 4 1/2,34600,KAMUNTING,PERAK,058839230,058837139
940,Menengah,PPD LARUT/MATANG/SELAMA,AEA6057,SMK KAMPUNG JAMBU,JALAN CONVENT,34000,TAIPING,PERAK,058075350,058075371
941,Menengah,PPD LARUT/MATANG/SELAMA,AEA6058,SMK PENGKALAN AUR,JALAN AIR KUNING CHANGKAT JERING,34850,TAIPING,PERAK,058554009,058553752
942,Menengah,PPD LARUT/MATANG/SELAMA,AEA6059,SMK TAMAN PANGLIMA,ASSAM KUMBANG,34000,TAIPING,PERAK,058069786,058078498
943,Menengah,PPD LARUT/MATANG/SELAMA,AEA6060,SMK KUBU GAJAH,JALAN TAIPING,34130,SELAMA,PERAK,058391913,058391913
944,Menengah,PPD LARUT/MATANG/SELAMA,AEA6061,SMK MATANG,JALAN MATANG,34750,MATANG,PERAK,058476877,058476355
945,Menengah,PPD LARUT/MATANG/SELAMA,AEA6062,SMK KLIAN PAUH,JALAN LUMBA KUDA,34000,TAIPING,PERAK,058073970,058060187
946,Menengah,PPD LARUT/MATANG/SELAMA,AEA6063,SMK TOH JOHAN,TRONG,34800,TRONG,PERAK,058577081,058577040
947,Menengah,PPD LARUT/MATANG/SELAMA,AEA6158,SMK REDANG PANJANG,IJOK,34510,BATU KURAU,PERAK,058801385,058801385
948,Menengah,PPD LARUT/MATANG/SELAMA,AEA6159,SEKOLAH MENENGAH KEBANGSAAN KAMPONG PERAK,BATU KURAU,34500,BATU KURAU,PERAK,0194361417,
949,Menengah,PPD HULU PERAK,AEA7001,SMK TAN SRI ABDUL AZIZ,JLN. ALANG ISKANDAR,33400,LENGGONG,PERAK,057691111,057691112
950,Menengah,PPD HULU PERAK,AEA7002,SMK BERSIA (FELDA),FELDA BERSIA,33320,GERIK,PERAK,057911526,057912452
951,Menengah,PPD HULU PERAK,AEA7003,SMK SULTAN AZLAN SHAH,KAMPUNG CHANGKAT BERANGAN,33400,LENGGONG,PERAK,057691210,057691212
952,Menengah,PPD HULU PERAK,AEA7004,SMK DATO SERI WAN MOHAMED,KG PLANG,33310,GERIK,PERAK,057915644,057913380
953,Menengah,PPD HULU PERAK,AEA7005,SMK KENERING,KG LAWIN,33300,GERIK,PERAK,057911821,057912391
954,Menengah,PPD HULU PERAK,AEA7006,SMK GERIK,JALAN KUALA KENDERONG,33300,GERIK,PERAK,057912300,057912400
955,Menengah,PPD HULU PERAK,AEA7007,SMK PENGKALAN HULU,JALAN KOMPLEKS GURU,33100,PENGKALAN HULU,PERAK,044770744,044778900
956,Menengah,PPD HULU PERAK,AEA7008,SMK BATU 4,JALAN KUALA RUI,33300,GERIK,PERAK,057914201,057911676
957,Menengah,PPD HULU PERAK,AEA7009,SMK SERI BUDIMAN,JALAN BUKIT NASAH,33300,GERIK,PERAK,057918007,057918006
958,Menengah,PPD PERAK TENGAH,AEA8001,SMK SULTAN MUHAMMAD SHAH,JALAN PADANG BOLA,32800,PARIT,PERAK,053778236,053778236
959,Menengah,PPD PERAK TENGAH,AEA8002,SMK SULTAN MUZAFAR SHAH 1,LAMBOR KANAN,32600,BOTA,PERAK,053761377,053762275
960,Menengah,PPD PERAK TENGAH,AEA8003,SMK SULTAN ABDUL JALIL SHAH,SEBERANG PERAK,36000,TELUK INTAN,PERAK,056553954,056551942
961,Menengah,PPD PERAK TENGAH,AEA8004,SMK LAYANG-LAYANG KIRI,LAYANG-LAYANG KIRI,32800,PARIT,PERAK,053761125,053761449
962,Menengah,PPD PERAK TENGAH,AEA8005,SMK CHANGKAT LADA,BANDAR SEBERANG PERAK,36800,KAMPONG GAJAH,PERAK,056551097,056551009
963,Menengah,PPD PERAK TENGAH,AEA8006,SMK LAMBOR KIRI,KG. LAMBOR KIRI,32900,LAMBOR KANAN,PERAK,053761187,053764080
964,Menengah,PPD PERAK TENGAH,AEA8007,SMK SUNGAI RANGGAM,KOTA SETIA,36810,KG GAJAH,PERAK,056224350,056225054
965,Menengah,PPD PERAK TENGAH,AEA8008,SMK SERI ISKANDAR,SERI ISKANDAR,32610,SERI ISKANDAR,PERAK,053712892,053712892
966,Menengah,PPD PERAK TENGAH,AEA8009,SEKOLAH MENENGAH KEBANGSAAN  SERI LONDANG,GELUNG PEPUYU,32600,BOTA,PERAK,053762041,053761086
967,Menengah,PPD BATANG PADANG,AEB0035,SMK BUYONG ADIL,JALAN KELAB,35000,TAPAH,PERAK,054011152,054018340
968,Menengah,PPD BATANG PADANG,AEB0036,SMK SRI TAPAH,JALAN PAHANG,35000,TAPAH,PERAK,054012628,054018236
969,Menengah,PPD BATANG PADANG,AEB0038,SMK CHOONG HUA,JALAN PASAR,35500,BIDOR,PERAK,054341140,054348617
970,Menengah,PPD BATANG PADANG,AEB0042,SMK METHODIST,JALAN SLIM,35900,TANJONG MALIM,PERAK,054596244,054585496
971,Menengah,PPD BATANG PADANG,AEB0043,SMK KATHOLIK,JALAN SLIM LAMA,35900,TANJONG MALIM,PERAK,054596241,054582376
972,Menengah,PPD MANJUNG,AEB1027,SMK CONVENT,JALAN RAJA OMAR,32000,SITIAWAN,PERAK,056913932,056919585
973,Menengah,PPD MANJUNG,AEB1031,SMK NAN HWA,JALAN LIN CHEN MEI,32000,SITIAWAN,PERAK,056911077,056929003
974,Menengah,PPD MANJUNG,AEB1033,SMK DINDINGS,PUNDUT,32200,LUMUT,PERAK,056812119,056835670
975,Menengah,PPD MANJUNG,AEB1034,SMK AYER TAWAR,JALAN PASAR,32400,AYER TAWAR,PERAK,056722042,056724863
976,Menengah,PPD MANJUNG,AEB1036,SMK METHODIST,JALAN BESAR AYER TAWAR,32400,AYER TAWAR,PERAK,056722492,056721732
977,Menengah,PPD KINTA UTARA,AEB2043,SMK ANDERSON,JALAN HOSPITAL,30450,IPOH,PERAK,052494900,052423924
978,Menengah,PPD KINTA UTARA,AEB2044,SMK ST. MICHAEL,JLN DATO S P SEENIVASAGAM,30000,IPOH,PERAK,052540418,052540487
979,Menengah,PPD KINTA UTARA,AEB2045,SMK METHODIST (ACS),"NO 111, JALAN LAHAT",30200,IPOH,PERAK,052549336,052414604
980,Menengah,PPD KINTA UTARA,AEB2046,SMK RAJA PEREMPUAN,JALAN BATU BUNGKAL,30250,IPOH,PERAK,052494830,052420697
981,Menengah,PPD KINTA UTARA,AEB2047,SMK PEREMPUAN METHODIST,"NO. 2, JALAN RAJA PERMAISURI BAINUN",30250,IPOH,PERAK,052549580,052419641
982,Menengah,PPD KINTA UTARA,AEB2048,SMK CONVENT,JLN SULTAN IDRIS SHAH,30000,IPOH,PERAK,052494200,052494204
983,Menengah,PPD KINTA UTARA,AEB2049,SMK TARCISIAN CONVENT,"JALAN ABDUL MANAP, TAMAN LIM",30100,IPOH,PERAK,055277134,055270215
984,Menengah,PPD KINTA UTARA,AEB2050,SEKOLAH TUANKU ABDUL RAHMAN,JALAN SULTAN AZLAN SHAH,31400,IPOH,PERAK,055457733,055467000
985,Menengah,PPD KINTA UTARA,AEB2051,SMK PEREMPUAN PERAK,NO.247 JLN  RAJA PERMAISURI BAINUN,30250,IPOH,PERAK,052548116,052548116
986,Menengah,PPD KINTA UTARA,AEB2052,SMK AVE MARIA CONVENT,JLN CHUNG THYE PHIN,30250,IPOH,PERAK,052545587,052555587
987,Menengah,PPD KINTA UTARA,AEB2053,SMK SAM TET,NO.5 JALAN GEREJA,30300,IPOH,PERAK,052545457,052430700
988,Menengah,PPD KINTA UTARA,AEB2054,SMK POI LAM,"NO.13, JLN. PANGLIMA BUKIT GANTANG WAHAB",30000,IPOH,PERAK,052544469,052418622
989,Menengah,PPD KINTA UTARA,AEB2055,SMK YUK CHOY,NO 6 JLN KUALA KANGSAR,30010,IPOH,PERAK,055061726,055064942
990,Menengah,PPD KINTA UTARA,AEB2056,SMK SERI INTAN,FAIR PARK,31400,IPOH,PERAK,055450844,055450844
991,Menengah,PPD KINTA UTARA,AEB2057,SMK SRI PUTERI,JALAN SUNGAI PARI,30200,IPOH,PERAK,052540648,052426736
992,Menengah,PPD KINTA UTARA,AEB2058,SMK SUNGAI PARI,JALAN SUNGAI PARI,30200,IPOH,PERAK,052542591,052430744
993,Menengah,PPD KINTA UTARA,AEB2059,SMK SERI PUTERA,"KEPAYANG, FAIR PARK",31400,IPOH,PERAK,055450902,055499509
994,Menengah,PPD KINTA UTARA,AEB2060,SMK DR MEGAT KHAS,JALAN LABROOY,30100,IPOH,PERAK,055276485,055280427
995,Menengah,PPD KINTA UTARA,AEB2061,SMK SERI IPOH,LEBUH JANSZ,30200,IPOH,PERAK,052549207,052549207
996,Menengah,PPD KINTA UTARA,AEB2062,SMK MENGLEMBU,MENGLEMBU,31450,MENGLEMBU,PERAK,052812559,052822513
997,Menengah,PPD KINTA SELATAN,AEB2063,SMK SULTAN YUSSUF,JALAN ILMU,31000,BATU GAJAH,PERAK,053633203,053669271
998,Menengah,PPD KINTA SELATAN,AEB2064,SMK ST. BERNADETTE'S CONVENT,JALAN PUSING,31000,BATU GAJAH,PERAK,053661577,053666426
999,Menengah,PPD KINTA SELATAN,AEB2065,SMK YUK KWAN,9 JALAN KELAB,31000,BATU GAJAH,PERAK,053661451,053666679
1000,Menengah,PPD KINTA SELATAN,AEB2068,SMK PEI YUAN,NO 9 JALAN KUALA DIPANG,31900,KAMPAR,PERAK,054661542,054660907
1001,Menengah,PPD KINTA SELATAN,AEB2069,SMK KAMPAR,NO.1 JLN KUALA DIPANG,31900,KAMPAR,PERAK,054651335,054651335
1002,Menengah,PPD KRIAN,AEB3041,SMK METHODIST,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,057161062,057160591
1003,Menengah,PPD KRIAN,AEB3042,SMK KRIAN,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,057161158,057162680
1004,Menengah,PPD KRIAN,AEB3043,SMK SRI KURAU,JALAN SIAKAP,34300,BAGAN SERAI,PERAK,057217958,057219018
1005,Menengah,PPD KRIAN,AEB3044,SMK BAGAN SERAI,JALAN MATANG BULUH,34300,BAGAN SERAI,PERAK,057219588,057216939
1006,Menengah,PPD KUALA KANGSAR,AEB4072,SMK RAJA MUDA MUSA,JLN SULTAN ISKANDAR SHAH,33007,KUALA KANGSAR,PERAK,057733112,057733111
1007,Menengah,PPD KUALA KANGSAR,AEB4073,SMK TSUNG WAH,"66-B,JLN DATO SAGOR",33000,KUALA KANGSAR,PERAK,057777644,057764962
1008,Menengah,PPD KUALA KANGSAR,AEB4074,KOLEJ MELAYU KUALA KANGSAR,JALAN TUN ABDUL RAZAK,33000,KUALA KANGSAR,PERAK,057761400,057764500
1009,Menengah,PPD KUALA KANGSAR,AEB4075,SMK METHODIST,JALAN BESAR,31100,SUNGAI SIPUT (U),PERAK,055981462,055973024
1010,Menengah,PPD KUALA KANGSAR,AEB4076,SMK SHING CHUNG,JALAN BESAR SUNGAI SIPUT,31100,SUNGAI SIPUT (U),PERAK,055981353,055972924
1011,Menengah,PPD KUALA KANGSAR,AEB4077,SMK DATUK HJ ABD WAHAB,JALAN KAMPUNG SENTOSA,31100,SUNGAI SIPUT (U),PERAK,055981582,055983662
1012,Menengah,PPD HILIR PERAK,AEB5165,SMK SULTAN ABDUL AZIZ,JALAN PADANG TEMBAK,36007,TELUK INTAN,PERAK,056221159,056215348
1013,Menengah,PPD HILIR PERAK,AEB5166,SMK RAJA MUDA MUSA,PEKAN BARU,36000,TELUK INTAN,PERAK,056221123,056219796
1014,Menengah,PPD HILIR PERAK,AEB5167,SMK ST. ANTHONY,PETI SURAT 128,36008,TELUK INTAN,PERAK,056221914,056221914
1015,Menengah,PPD HILIR PERAK,AEB5168,SMK HORLEY METHODIST,JALAN RAJA MUSA,36000,TELUK INTAN,PERAK,056221215,056217258
1016,Menengah,PPD HILIR PERAK,AEB5169,SMK CONVENT,JALAN SEKOLAH,36007,TELUK INTAN,PERAK,056221936,056212842
1017,Menengah,PPD HILIR PERAK,AEB5170,SMK SAN MIN,"LOT 1146,JALAN MERBOK",36000,TELUK INTAN,PERAK,056221216,056237060
1018,Menengah,PPD LARUT/MATANG/SELAMA,AEB6051,SMK ST. GEORGE,JALAN STESEN,34000,TAIPING,PERAK,058072408,058053115
1019,Menengah,PPD LARUT/MATANG/SELAMA,AEB6052,SMK (P) TREACHER METHODIST,"NO. 5, JLN MUZIUM",34000,TAIPING,PERAK,058074888,058074888
